ID,feature_names,weights,Rnk
102,state_nm,0.661123,10
113,state_tx,0.661094,1
117,state_wa,0.661094,15
118,state_wi,0.661093,4
119,state_wv,0.660977,1
114,state_ut,0.660948,1
101,state_nj,0.660919,1
120,state_wy,0.66089,1
103,state_nv,0.660832,1
111,state_sd,0.660803,1
98,state_nd,0.660774,1
84,state_il,0.660744,1
116,state_vt,0.660687,1
115,state_va,0.660686,1
99,state_ne,0.660657,1
110,state_sc,0.660657,1
112,state_tn,0.660628,18
104,state_ny,0.660599,1
100,state_nh,0.660512,1
108,state_pa,0.660512,1
109,state_ri,0.660512,1
85,state_in,0.660511,1
86,state_ks,0.660366,5
94,state_mo,0.660337,7
97,state_nc,0.66025,1
88,state_la,0.660162,12
107,state_or,0.660134,1
93,state_mn,0.660104,1
95,state_ms,0.660104,1
106,state_ok,0.660046,9
96,state_mt,0.660017,1
105,state_oh,0.659872,1
90,state_md,0.659842,13
89,state_ma,0.659842,1
87,state_ky,0.659813,11
92,state_mi,0.659726,1
91,state_me,0.659726,1
79,state_fl,0.659639,1
83,state_id,0.659581,1
78,state_de,0.659203,1
77,state_dc,0.659145,1
75,state_co,0.659029,1
80,state_ga,0.658999,1
76,state_ct,0.658941,1
82,state_ia,0.658912,6
81,state_hi,0.658563,1
72,state_ar,0.658476,1
74,state_ca,0.658244,8
70,paint_color_new_OrYlwGrnPrpl,0.658127,1
71,state_al,0.658127,1
73,state_az,0.658011,1
67,type_new_van,0.65769,1
69,paint_color_new_Custom,0.657545,17
65,type_new_pickup_truck,0.657545,1
64,type_new_offroad,0.657516,1
66,type_new_sedan,0.657429,1
68,paint_color_new_BluRdBrwn,0.6574,1
63,type_new_mini-van,0.657254,1
61,type_new_crossover,0.657021,1
62,type_new_hatchback,0.656992,1
60,type_new_coupe,0.656061,1
59,transmission_new_Other,0.65484,1
58,transmission_new_Manual,0.653968,1
57,condition_new_salvage,0.653677,1
54,drive_new_rwd,0.65324,1
53,drive_new_others,0.653211,1
56,condition_new_new,0.653095,16
55,condition_new_good_fair,0.652833,1
52,drive_new_fwd,0.651989,1
51,title_status_salvage,0.651262,1
50,title_status_rebuilt,0.651262,1
49,title_status_parts only,0.650273,1
48,title_status_missing,0.649779,1
47,title_status_lien,0.648412,14
46,fuel_other,0.648238,1
45,fuel_hybrid,0.647161,1
44,fuel_gas,0.646696,1
42,manufacturer_volvo,0.646143,1
43,fuel_electric,0.645998,1
37,manufacturer_saturn,0.644719,1
39,manufacturer_tesla,0.644602,1
38,manufacturer_subaru,0.644486,1
41,manufacturer_volkswagen,0.644254,1
40,manufacturer_toyota,0.644137,1
36,manufacturer_rover,0.64312,1
35,manufacturer_ram,0.642945,1
34,manufacturer_porsche,0.641403,1
33,manufacturer_pontiac,0.640182,1
32,manufacturer_nissan,0.6396,1
31,manufacturer_mitsubishi,0.637593,1
30,manufacturer_mini,0.636604,1
28,manufacturer_mercedes-benz,0.636342,1
29,manufacturer_mercury,0.636051,1
27,manufacturer_mazda,0.635731,1
26,manufacturer_lincoln,0.634393,1
25,manufacturer_lexus,0.633986,1
24,manufacturer_land rover,0.633899,1
23,manufacturer_kia,0.631514,1
21,manufacturer_jaguar,0.629652,1
22,manufacturer_jeep,0.629448,1
20,manufacturer_infiniti,0.628052,1
19,manufacturer_hyundai,0.626744,1
18,manufacturer_honda,0.626365,1
17,manufacturer_harley-davidson,0.624969,1
16,manufacturer_gmc,0.623048,1
13,manufacturer_ferrari,0.620343,19
14,manufacturer_fiat,0.619994,1
15,manufacturer_ford,0.619907,1
12,manufacturer_dodge,0.615282,1
11,manufacturer_datsun,0.614264,2
10,manufacturer_chrysler,0.611646,1
9,manufacturer_chevrolet,0.610948,1
8,manufacturer_cadillac,0.608504,1
7,manufacturer_buick,0.604666,1
6,manufacturer_bmw,0.596726,1
5,manufacturer_audi,0.593875,1
4,manufacturer_aston-martin,0.588494,3
3,manufacturer_alfa-romeo,0.587127,1
2,car_Age_in_yrs,0.527937,1
1,odometer,0.494343,1
0,cylinders,0.411845,1
